0,male,full,25,doctorate,35,36350
1,male,full,13.0,doctorate,22.0,35350.0
2,male,full,10.0,doctorate,23.0,28200.0
3,female,full,7.0,doctorate,27.0,26775.0
4,male,full,19.0,masters,30.0,33696.0
5,male,full,16.0,doctorate,21.0,23526.42
6,female,full,7.387755102040816,masters,32.0,24900.0
7,male,full,16.0,doctorate,18.0,31909.0
8,male,full,13.0,masters,30.0,31850.0
9,male,full,13.0,masters,31.0,32850.0
10,male,full,12.0,doctorate,22.0,27025.0
11,male,associate,15.0,doctorate,15.74,24750.0
12,male,full,9.0,doctorate,17.0,23526.42
13,male,associate,-9.0,masters,27.0,23712.0
14,male,full,9.0,doctorate,24.0,25748.0
15,male,full,7.0,doctorate,15.0,29342.0
16,male,full,13.0,doctorate,20.0,31114.0
17,male,associate,11.0,masters,14.0,24742.0
18,male,associate,10.0,masters,15.0,22906.0
19,male,full,6.0,doctorate,21.0,24450.0
20,male,assistant,16.0,masters,23.0,19175.0
21,male,associate,8.0,masters,31.0,20525.0
22,male,full,7.0,doctorate,13.0,27959.0
23,female,full,8.0,doctorate,24.0,38045.0
24,male,associate,9.0,doctorate,12.0,24832.0
25,male,full,5.0,doctorate,18.0,25400.0
26,male,associate,11.0,doctorate,14.0,24800.0
27,female,full,5.0,doctorate,16.0,25500.0
28,male,associate,3.0,masters,7.0,26182.0
29,male,associate,3.0,masters,17.0,23725.0
30,female,assistant,10.0,masters,15.74,21600.0
31,male,associate,11.0,masters,31.0,23300.0
32,male,assistant,9.0,masters,14.0,23713.0
33,female,associate,4.0,masters,33.0,20690.0
34,female,associate,6.0,masters,29.0,22450.0
35,male,associate,1.0,doctorate,9.0,20850.0
36,female,assistant,8.0,doctorate,14.0,18304.0
37,male,assistant,4.0,doctorate,4.0,17095.0
38,male,assistant,4.0,doctorate,5.0,16700.0
39,male,assistant,4.0,doctorate,4.0,17600.0
40,male,assistant,3.0,doctorate,4.0,18075.0
41,male,assistant,3.0,masters,11.0,18000.0
42,male,associate,7.387755102040816,doctorate,7.0,20999.0
43,female,assistant,3.0,doctorate,3.0,17250.0
44,male,assistant,2.0,doctorate,3.0,16500.0
45,male,assistant,2.0,doctorate,1.0,16094.0
46,female,assistant,2.0,doctorate,6.0,16150.0
47,female,assistant,2.0,doctorate,2.0,15350.0
48,male,assistant,1.0,doctorate,1.0,16244.0
49,female,assistant,1.0,doctorate,1.0,16686.0
50,female,assistant,1.0,doctorate,1.0,15000.0
51,female,assistant,7.387755102040816,doctorate,2.0,20300.0
52,male,full,16.0,doctorate,18.0,31909.0
