neg,neu,pos,compound
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.026,0.775,0.199,0.991
0.068,0.777,0.155,0.5423
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.011,0.789,0.2,0.9921
0.192,0.565,0.243,0.7351
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.018,0.868,0.113,0.9956
0.0,0.917,0.083,0.5859
0.0,1.0,0.0,0.0
0.072,0.868,0.06,-0.1531
0.06,0.84,0.1,0.25
0.036,0.884,0.08,0.9828
0.014,0.965,0.021,0.1027
0.0,0.886,0.114,0.7579
0.0,0.86,0.14,0.9393
0.029,0.917,0.055,0.2263
0.0,0.908,0.092,0.9382
0.0,0.904,0.096,0.7845
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.043,0.853,0.104,0.9908
0.0,0.987,0.013,0.3612
0.039,0.725,0.236,0.9917
0.0,0.912,0.088,0.3612
0.017,0.928,0.055,0.6249
0.0,0.962,0.038,0.5859
0.0,0.956,0.044,0.7579
0.0,1.0,0.0,0.0
0.0,0.809,0.191,0.9753
0.0,0.976,0.024,0.5994
0.0,1.0,0.0,0.0
0.028,0.905,0.067,0.9527
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.974,0.026,0.3612
0.0,0.935,0.065,0.4939
0.0,0.933,0.067,0.0772
0.0,0.893,0.107,0.6597
0.0,1.0,0.0,0.0
0.024,0.888,0.089,0.6369
0.027,0.929,0.044,0.2263
0.06,0.858,0.082,0.7579
0.0,0.879,0.121,0.8807
0.141,0.694,0.164,0.0
0.002,0.914,0.084,0.9977
